word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
food,uber,thank,gas,🍳,🍕,lunch,shirt,brunch,
uber,food,thank,👕,brunch,🧀,,shirt,gas,🍳
uber,food,thank,,🧀,hair,gas,😜,thanks,lunch
food,uber,thank,hair,gas,,👕,😜,brunch,foods
food,uber,thank,brunch,🧀,gas,party,,lunch,🍕
food,uber,thank,brunch,,gas,😜,🍻,lunch,hair
food,uber,thank,gas,brunch,cute,😜,🍕,lunch,shirt
food,uber,thank,,thanks,gas,🍳,🧀,shirt,🍕
food,uber,thank,gas,thanks,hair,🍕,😜,🍳,drinks
food,uber,thank,brunch,👕,gas,shirt,,🧀,thanks
