word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
food,week,,🍴,,!!,thanks,!!!,lunch,groceries
,🍴,!!,,food,!!!,groceries,week,money,day
food,,🍴,thanks,week,groceries,!!,,thank,lunch
food,,,!!,week,thanks,groceries,🍴,!!!,uber
food,,🍴,,day,groceries,week,!!!,!!,thanks
food,🍴,,,day,!!,thanks,week,money,groceries
food,,week,🍴,!!,!!!,groceries,,day,money
food,,week,,🍴,!!,thanks,groceries,!!!,thank
,🍴,food,!!,,lunch,!!!,thanks,thank,uber
,food,,day,!!,week,groceries,money,🍴,thanks
