word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
food,uber,,🍕,groceries,fun,shirt,man,,ticket
food,uber,,fun,formal,groceries,,ticket,🍕,dickson
,uber,groceries,food,🍕,dickson,fun,formal,thank,ticket
food,uber,,formal,groceries,🍕,ticket,fun,lunch,⛽
uber,food,formal,,🍕,groceries,fun,ticket,lunch,thai
uber,,food,groceries,formal,🍕,ticket,fun,thank,dickson
uber,food,,fun,lunch,groceries,dickson,formal,ticket,brunch
food,uber,,formal,groceries,ticket,🍕,brunch,fun,thai
food,uber,,groceries,🍕,thai,ticket,formal,fun,thank
food,,uber,groceries,🍕,,formal,ticket,thank,
